date,sales
2013-09-25,175
2013-09-26,199
2013-09-27,183
2013-09-28,216
2013-09-29,217
2013-09-30,141
2013-10-01,159
2013-10-02,178
2013-10-03,189
2013-10-04,203
2013-10-05,187
2013-10-06,200
2013-10-07,150
2013-10-08,162
2013-10-09,174
2013-10-10,185
2013-10-11,190
2013-10-12,220
2013-10-13,198
2013-10-14,150
2013-10-15,172
2013-10-16,153
2013-10-17,192
2013-10-18,174
2013-10-19,210
2013-10-20,207
2013-10-21,110
2013-10-22,163
2013-10-23,167
2013-10-24,177
2013-10-25,174
2013-10-26,210
2013-10-27,198
2013-10-28,136
2013-10-29,157
2013-10-30,171
2013-10-31,181
2013-11-01,244
2013-11-02,223
2013-11-03,226
2013-11-04,162
2013-11-05,175
2013-11-06,173
2013-11-07,167
2013-11-08,231
2013-11-09,226
2013-11-10,255
2013-11-11,162
2013-11-12,163
2013-11-13,180
2013-11-14,186
2013-11-15,200
2013-11-16,205
2013-11-17,225
2013-11-18,158
2013-11-19,194
2013-11-20,185
2013-11-21,203
2013-11-22,189
2013-11-23,225
2013-11-24,236
2013-11-25,174
2013-11-26,184
2013-11-27,181
2013-11-28,205
2013-11-29,196
2013-11-30,225
2013-12-01,181
2013-12-02,104
2013-12-03,144
2013-12-04,143
2013-12-05,157
2013-12-06,155
2013-12-07,156
2013-12-08,157
2013-12-09,84
2013-12-10,129
2013-12-11,129
2013-12-12,110
2013-12-13,155
2013-12-14,160
2013-12-15,147
2013-12-16,113
2013-12-17,129
2013-12-18,141
2013-12-19,128
2013-12-20,159
2013-12-21,159
2013-12-22,155
2013-12-23,102
2013-12-24,132
2013-12-25,124
2013-12-26,127
2013-12-27,168
2013-12-28,156
2013-12-29,168
2013-12-30,106
2013-12-31,131
2014-01-01,109
2014-01-02,128
2014-01-03,146
2014-01-04,155
2014-01-05,179
2014-01-06,135
2014-01-07,106
2014-01-08,131
2014-01-09,127
2014-01-10,151
2014-01-11,159
2014-01-12,163
2014-01-13,97
2014-01-14,137
2014-01-15,127
2014-01-16,157
2014-01-17,149
2014-01-18,145
2014-01-19,169
2014-01-20,105
2014-01-21,103
2014-01-22,132
2014-01-23,140
2014-01-24,180
2014-01-25,173
2014-01-26,163
2014-01-27,107
2014-01-28,110
2014-01-29,130
2014-01-30,157
2014-01-31,153
2014-02-01,171
2014-02-02,163
2014-02-03,113
2014-02-04,147
2014-02-05,168
2014-02-06,175
2014-02-07,165
2014-02-08,178
2014-02-09,184
2014-02-10,121
2014-02-11,132
2014-02-12,126
2014-02-13,139
2014-02-14,169
2014-02-15,164
2014-02-16,193
2014-02-17,106
2014-02-18,144
2014-02-19,145
2014-02-20,161
2014-02-21,191
2014-02-22,175
2014-02-23,183
2014-02-24,131
2014-02-25,155
2014-02-26,180
2014-02-27,137
2014-02-28,175
2014-03-01,199
2014-03-02,217
2014-03-03,169
2014-03-04,166
2014-03-05,210
2014-03-06,185
2014-03-07,174
2014-03-08,202
2014-03-09,205
2014-03-10,149
2014-03-11,195
2014-03-12,188
2014-03-13,185
2014-03-14,180
2014-03-15,213
2014-03-16,235
2014-03-17,151
2014-03-18,160
2014-03-19,180
2014-03-20,179
2014-03-21,199
2014-03-22,237
2014-03-23,235
2014-03-24,147
2014-03-25,176
2014-03-26,208
2014-03-27,144
2014-03-28,193
2014-03-29,213
2014-03-30,234
2014-03-31,132
2014-04-01,216
2014-04-02,185
2014-04-03,195
2014-04-04,228
2014-04-05,263
2014-04-06,281
2014-04-07,149
2014-04-08,224
2014-04-09,194
2014-04-10,226
2014-04-11,216
2014-04-12,235
2014-04-13,258
2014-04-14,176
2014-04-15,186
2014-04-16,189
2014-04-17,213
2014-04-18,236
2014-04-19,259
2014-04-20,264
2014-04-21,178
2014-04-22,201
2014-04-23,227
2014-04-24,247
2014-04-25,241
2014-04-26,221
2014-04-27,264
2014-04-28,161
2014-04-29,224
2014-04-30,195
2014-05-01,232
2014-05-02,253
2014-05-03,250
2014-05-04,282
2014-05-05,192
2014-05-06,246
2014-05-07,195
2014-05-08,228
2014-05-09,257
2014-05-10,242
2014-05-11,285
2014-05-12,179
2014-05-13,219
2014-05-14,239
2014-05-15,258
2014-05-16,242
2014-05-17,279
2014-05-18,260
2014-05-19,194
2014-05-20,227
2014-05-21,213
2014-05-22,234
2014-05-23,244
2014-05-24,264
2014-05-25,278
2014-05-26,169
2014-05-27,224
2014-05-28,220
2014-05-29,244
2014-05-30,264
2014-05-31,257
2014-06-01,326
2014-06-02,165
2014-06-03,238
2014-06-04,245
2014-06-05,243
2014-06-06,264
2014-06-07,304
2014-06-08,299
2014-06-09,217
2014-06-10,265
2014-06-11,263
2014-06-12,260
2014-06-13,277
2014-06-14,312
2014-06-15,325
2014-06-16,215
2014-06-17,263
2014-06-18,237
2014-06-19,274
2014-06-20,277
2014-06-21,301
2014-06-22,314
2014-06-23,200
2014-06-24,238
2014-06-25,239
2014-06-26,263
2014-06-27,269
2014-06-28,308
2014-06-29,297
2014-06-30,190
2014-07-01,216
2014-07-02,242
2014-07-03,261
2014-07-04,289
2014-07-05,318
2014-07-06,321
2014-07-07,204
2014-07-08,226
2014-07-09,243
2014-07-10,255
2014-07-11,267
2014-07-12,316
2014-07-13,314
2014-07-14,241
2014-07-15,234
2014-07-16,264
2014-07-17,273
2014-07-18,304
2014-07-19,290
2014-07-20,338
2014-07-21,236
2014-07-22,312
2014-07-23,236
2014-07-24,248
2014-07-25,319
2014-07-26,283
2014-07-27,330
2014-07-28,238
2014-07-29,215
2014-07-30,253
2014-07-31,244
2014-08-01,237
2014-08-02,297
2014-08-03,279
2014-08-04,173
2014-08-05,194
2014-08-06,245
2014-08-07,244
2014-08-08,268
2014-08-09,267
2014-08-10,242
2014-08-11,179
2014-08-12,195
2014-08-13,220
2014-08-14,208
2014-08-15,261
2014-08-16,258
2014-08-17,309
2014-08-18,187
2014-08-19,213
2014-08-20,215
2014-08-21,197
2014-08-22,250
2014-08-23,257
2014-08-24,303
2014-08-25,187
2014-08-26,226
2014-08-27,246
2014-08-28,232
2014-08-29,245
2014-08-30,265
2014-08-31,302
2014-09-01,179
2014-09-02,194
2014-09-03,209
2014-09-04,258
2014-09-05,244
2014-09-06,262
2014-09-07,249
2014-09-08,173
2014-09-09,236
2014-09-10,219
2014-09-11,219
2014-09-12,219
2014-09-13,243
2014-09-14,259
2014-09-15,189
2014-09-16,187
2014-09-17,231
2014-09-18,230
2014-09-19,218
2014-09-20,269
2014-09-21,220
2014-09-22,169
2014-09-23,176
2014-09-24,193
2014-09-25,236
2014-09-26,258
2014-09-27,240
2014-09-28,244
2014-09-29,170
2014-09-30,206
2014-10-01,173
2014-10-02,203
2014-10-03,240
2014-10-04,228
2014-10-05,256
2014-10-06,140
2014-10-07,196
2014-10-08,213
2014-10-09,201
2014-10-10,220
2014-10-11,230
2014-10-12,254
2014-10-13,166
2014-10-14,197
2014-10-15,199
2014-10-16,220
2014-10-17,182
2014-10-18,240
2014-10-19,238
2014-10-20,147
2014-10-21,192
2014-10-22,188
2014-10-23,237
2014-10-24,214
2014-10-25,227
2014-10-26,262
2014-10-27,152
2014-10-28,189
2014-10-29,181
2014-10-30,206
2014-10-31,220
2014-11-01,240
2014-11-02,244
2014-11-03,179
2014-11-04,191
2014-11-05,190
2014-11-06,251
2014-11-07,249
2014-11-08,225
2014-11-09,257
2014-11-10,173
2014-11-11,218
2014-11-12,201
2014-11-13,196
2014-11-14,238
2014-11-15,249
2014-11-16,279
2014-11-17,178
2014-11-18,207
2014-11-19,223
2014-11-20,244
2014-11-21,254
2014-11-22,245
2014-11-23,243
2014-11-24,183
2014-11-25,193
2014-11-26,213
2014-11-27,236
2014-11-28,252
2014-11-29,239
2014-11-30,252
2014-12-01,122
2014-12-02,158
2014-12-03,138
2014-12-04,165
2014-12-05,179
2014-12-06,189
2014-12-07,172
2014-12-08,135
2014-12-09,132
2014-12-10,143
2014-12-11,153
2014-12-12,155
2014-12-13,175
2014-12-14,185
2014-12-15,137
2014-12-16,147
2014-12-17,163
2014-12-18,148
2014-12-19,154
2014-12-20,176
2014-12-21,190
2014-12-22,127
2014-12-23,162
2014-12-24,170
2014-12-25,170
2014-12-26,156
2014-12-27,187
2014-12-28,201
2014-12-29,131
2014-12-30,150
2014-12-31,140
2015-01-01,143
2015-01-02,156
2015-01-03,165
2015-01-04,186
2015-01-05,112
2015-01-06,131
2015-01-07,135
2015-01-08,143
2015-01-09,172
2015-01-10,168
2015-01-11,201
2015-01-12,112
2015-01-13,135
2015-01-14,130
2015-01-15,111
2015-01-16,143
2015-01-17,180
2015-01-18,179
2015-01-19,119
2015-01-20,131
2015-01-21,147
2015-01-22,126
2015-01-23,182
2015-01-24,186
2015-01-25,181
2015-01-26,124
2015-01-27,136
2015-01-28,134
2015-01-29,135
2015-01-30,160
2015-01-31,163
2015-02-01,205
2015-02-02,116
2015-02-03,152
2015-02-04,152
2015-02-05,178
2015-02-06,157
2015-02-07,187
2015-02-08,185
2015-02-09,152
2015-02-10,136
2015-02-11,156
2015-02-12,181
2015-02-13,160
2015-02-14,196
2015-02-15,204
2015-02-16,145
2015-02-17,155
2015-02-18,129
2015-02-19,164
2015-02-20,182
2015-02-21,203
2015-02-22,223
2015-02-23,130
2015-02-24,127
2015-02-25,154
2015-02-26,152
2015-02-27,169
2015-02-28,183
2015-03-01,240
2015-03-02,158
2015-03-03,172
2015-03-04,188
2015-03-05,190
2015-03-06,218
2015-03-07,216
2015-03-08,233
2015-03-09,149
2015-03-10,192
2015-03-11,203
2015-03-12,215
2015-03-13,223
2015-03-14,219
2015-03-15,229
2015-03-16,151
2015-03-17,163
2015-03-18,178
2015-03-19,178
2015-03-20,213
2015-03-21,234
2015-03-22,251
2015-03-23,147
2015-03-24,187
2015-03-25,181
2015-03-26,180
2015-03-27,212
2015-03-28,236
2015-03-29,239
2015-03-30,142
2015-03-31,184
2015-04-01,204
2015-04-02,221
2015-04-03,291
2015-04-04,286
2015-04-05,248
2015-04-06,202
2015-04-07,213
2015-04-08,223
2015-04-09,224
2015-04-10,242
2015-04-11,284
2015-04-12,293
2015-04-13,185
2015-04-14,241
2015-04-15,222
2015-04-16,224
2015-04-17,250
2015-04-18,258
2015-04-19,271
2015-04-20,166
2015-04-21,213
2015-04-22,216
2015-04-23,223
2015-04-24,242
2015-04-25,281
2015-04-26,295
2015-04-27,167
2015-04-28,210
2015-04-29,210
2015-04-30,255
2015-05-01,258
2015-05-02,307
2015-05-03,300
2015-05-04,186
2015-05-05,266
2015-05-06,242
2015-05-07,247
2015-05-08,233
2015-05-09,281
2015-05-10,301
2015-05-11,197
2015-05-12,231
2015-05-13,211
2015-05-14,243
2015-05-15,271
2015-05-16,267
2015-05-17,296
2015-05-18,184
2015-05-19,223
2015-05-20,228
2015-05-21,240
2015-05-22,279
2015-05-23,277
2015-05-24,273
2015-05-25,207
2015-05-26,236
2015-05-27,221
2015-05-28,235
2015-05-29,260
2015-05-30,280
2015-05-31,278
2015-06-01,240
2015-06-02,232
2015-06-03,258
2015-06-04,284
2015-06-05,289
2015-06-06,315
2015-06-07,327
2015-06-08,191
2015-06-09,258
2015-06-10,247
2015-06-11,259
2015-06-12,270
2015-06-13,304
2015-06-14,348
2015-06-15,197
2015-06-16,243
2015-06-17,247
2015-06-18,278
2015-06-19,278
2015-06-20,315
2015-06-21,307
2015-06-22,193
2015-06-23,262
2015-06-24,239
2015-06-25,257
2015-06-26,284
2015-06-27,290
2015-06-28,326
2015-06-29,221
2015-06-30,233
2015-07-01,255
2015-07-02,293
2015-07-03,300
2015-07-04,317
2015-07-05,347
2015-07-06,233
2015-07-07,282
2015-07-08,256
2015-07-09,304
2015-07-10,292
2015-07-11,308
2015-07-12,325
2015-07-13,236
2015-07-14,247
2015-07-15,263
2015-07-16,306
2015-07-17,320
2015-07-18,335
2015-07-19,348
2015-07-20,214
2015-07-21,285
2015-07-22,233
2015-07-23,281
2015-07-24,263
2015-07-25,319
2015-07-26,334
2015-07-27,221
2015-07-28,275
2015-07-29,250
2015-07-30,328
2015-07-31,268
2015-08-01,253
2015-08-02,276
2015-08-03,205
2015-08-04,224
2015-08-05,245
2015-08-06,258
2015-08-07,235
2015-08-08,266
2015-08-09,347
2015-08-10,202
2015-08-11,253
2015-08-12,223
2015-08-13,252
2015-08-14,254
2015-08-15,285
2015-08-16,318
2015-08-17,219
2015-08-18,224
2015-08-19,228
2015-08-20,249
2015-08-21,287
2015-08-22,295
2015-08-23,270
2015-08-24,202
2015-08-25,209
2015-08-26,205
2015-08-27,242
2015-08-28,275
2015-08-29,251
2015-08-30,325
2015-08-31,193
2015-09-01,241
2015-09-02,237
2015-09-03,233
2015-09-04,239
2015-09-05,284
2015-09-06,262
2015-09-07,186
2015-09-08,221
2015-09-09,190
2015-09-10,226
2015-09-11,240
2015-09-12,249
2015-09-13,288
2015-09-14,207
2015-09-15,233
2015-09-16,230
2015-09-17,217
2015-09-18,247
2015-09-19,271
2015-09-20,266
2015-09-21,194
2015-09-22,213
2015-09-23,216
2015-09-24,221
2015-09-25,248
2015-09-26,254
2015-09-27,283
2015-09-28,192
2015-09-29,216
2015-09-30,207
2015-10-01,211
2015-10-02,210
2015-10-03,240
2015-10-04,245
2015-10-05,157
2015-10-06,195
2015-10-07,184
2015-10-08,218
2015-10-09,213
2015-10-10,237
2015-10-11,251
2015-10-12,152
2015-10-13,228
2015-10-14,186
2015-10-15,182
2015-10-16,205
2015-10-17,239
2015-10-18,261
2015-10-19,139
2015-10-20,192
2015-10-21,194
2015-10-22,248
2015-10-23,245
2015-10-24,228
2015-10-25,280
2015-10-26,192
2015-10-27,210
2015-10-28,205
2015-10-29,218
2015-10-30,220
2015-10-31,259
2015-11-01,263
2015-11-02,179
2015-11-03,214
2015-11-04,234
2015-11-05,215
2015-11-06,258
2015-11-07,242
2015-11-08,297
2015-11-09,170
2015-11-10,181
2015-11-11,222
2015-11-12,250
2015-11-13,263
2015-11-14,260
2015-11-15,292
2015-11-16,195
2015-11-17,254
2015-11-18,222
2015-11-19,233
2015-11-20,266
2015-11-21,249
2015-11-22,293
2015-11-23,211
2015-11-24,233
2015-11-25,195
2015-11-26,217
2015-11-27,263
2015-11-28,284
2015-11-29,287
2015-11-30,160
2015-12-01,138
2015-12-02,161
2015-12-03,160
2015-12-04,169
2015-12-05,155
2015-12-06,184
2015-12-07,145
2015-12-08,140
2015-12-09,144
2015-12-10,157
2015-12-11,186
2015-12-12,181
2015-12-13,176
2015-12-14,124
2015-12-15,150
2015-12-16,172
2015-12-17,136
2015-12-18,191
2015-12-19,188
2015-12-20,158
2015-12-21,137
2015-12-22,141
2015-12-23,152
2015-12-24,160
2015-12-25,186
2015-12-26,153
2015-12-27,205
2015-12-28,113
2015-12-29,155
2015-12-30,172
2015-12-31,163
